geoid,theme,amount
24510272007,Prop_OneRace_Black,0.58445122
12095016911,Prop_OneRace_Black,0.666815244
12095012405,Prop_OneRace_Black,0.801631226
12095018800,Prop_OneRace_Black,0.077664555
12095016908,Prop_OneRace_Black,0.451183432
12095012404,Prop_OneRace_Black,0.813707807
12095016910,Prop_OneRace_Black,0.52350081
12095018204,Prop_OneRace_Black,0.110787172
12095014706,Prop_OneRace_Black,0.259334691
12095014705,Prop_OneRace_Black,0.275724977
12095019000,Prop_OneRace_Black,0.062284928
12095013513,Prop_OneRace_Black,0.328278999
12095018201,Prop_OneRace_Black,0.024408848
12095013702,Prop_OneRace_Black,0.161847894
12095018300,Prop_OneRace_Black,0.719469372
12095013201,Prop_OneRace_Black,0.138613861
12095013606,Prop_OneRace_Black,0.243963364
12095013701,Prop_OneRace_Black,0.179806919
12095013406,Prop_OneRace_Black,0.349496798
12095013510,Prop_OneRace_Black,0.358422939
12095013512,Prop_OneRace_Black,0.408450704
12095014608,Prop_OneRace_Black,0.849869829
12095014609,Prop_OneRace_Black,0.727351414
12095013405,Prop_OneRace_Black,0.358090186
12095013607,Prop_OneRace_Black,0.10806399
12095010202,Prop_OneRace_Black,0.049244911
12095018901,Prop_OneRace_Black,0.581184984
12095018202,Prop_OneRace_Black,0.036219081
12095018902,Prop_OneRace_Black,0.124303233
12095010201,Prop_OneRace_Black,0.054458816
12095018203,Prop_OneRace_Black,0.263265306
12095016909,Prop_OneRace_Black,0.781921896
12095013507,Prop_OneRace_Black,0.355921053
12095011000,Prop_OneRace_Black,0.102915194
12095014601,Prop_OneRace_Black,0.944887397
12095012403,Prop_OneRace_Black,0.797533163
12095016200,Prop_OneRace_Black,0.090025669
12095014807,Prop_OneRace_Black,0.233472305
12095017001,Prop_OneRace_Black,0.555682467
12095011600,Prop_OneRace_Black,0.75136541
12095011701,Prop_OneRace_Black,0.946395068
12095014811,Prop_OneRace_Black,0.053001876
12095012500,Prop_OneRace_Black,0.052708638
12095012800,Prop_OneRace_Black,0.014594279
12095011702,Prop_OneRace_Black,0.966368891
12095011300,Prop_OneRace_Black,0.047307952
12095014812,Prop_OneRace_Black,0.163093623
12095013802,Prop_OneRace_Black,0.034894399
12095013803,Prop_OneRace_Black,0.05988024
12095012900,Prop_OneRace_Black,0.046511628
12095013300,Prop_OneRace_Black,0.121835443
12095010400,Prop_OneRace_Black,0.924703892
12095010500,Prop_OneRace_Black,0.941419142
12095013505,Prop_OneRace_Black,0.232700551
12095013603,Prop_OneRace_Black,0.137864823
12095013604,Prop_OneRace_Black,0.166255398
12095018700,Prop_OneRace_Black,0.713419563
12095010802,Prop_OneRace_Black,0.030141167
12095013403,Prop_OneRace_Black,0.203354298
12095013402,Prop_OneRace_Black,0.208704253
12095013605,Prop_OneRace_Black,0.215871516
12095013801,Prop_OneRace_Black,0.061387354
12095012000,Prop_OneRace_Black,0.870732975
12095011200,Prop_OneRace_Black,0.027788209
12095010300,Prop_OneRace_Black,0.091611906
12095016100,Prop_OneRace_Black,0.014213443
12095013503,Prop_OneRace_Black,0.488703924
12095013900,Prop_OneRace_Black,0.061706525
12095015202,Prop_OneRace_Black,0.447540984
12095012402,Prop_OneRace_Black,0.749879169
12095012600,Prop_OneRace_Black,0.029379761
12095014804,Prop_OneRace_Black,0.314364387
12095012701,Prop_OneRace_Black,0.033456391
12095014400,Prop_OneRace_Black,0.29375
12095014503,Prop_OneRace_Black,0.691837165
12095014502,Prop_OneRace_Black,0.857320717
12095014813,Prop_OneRace_Black,0.062464347
12095014605,Prop_OneRace_Black,0.972596036
12095015300,Prop_OneRace_Black,0.12890625
12095014607,Prop_OneRace_Black,0.30989957
12095014606,Prop_OneRace_Black,0.469766192
12095014702,Prop_OneRace_Black,0.477645099
12095014703,Prop_OneRace_Black,0.48463188
12095013511,Prop_OneRace_Black,0.158484525
12095018400,Prop_OneRace_Black,0.106693174
12095018500,Prop_OneRace_Black,0.690773067
